# Testi nuovi o cambiati nella v7. Tipo|chiave|it|en|es|de|fr|pl|pt|ro|ru
# L = contenuto di un controllo, M = messaggio, H = descrizione a comparsa (it|en, oppure tutte e nove le lingue).
M|cleanTip_thumbs|Windows le ricrea aprendo le cartelle: la prima apertura sarà più lenta.|Windows rebuilds them when you open folders: the first opening will be slower.|Windows las recrea al abrir carpetas: la primera apertura será más lenta.|Windows erstellt sie beim Öffnen neu: das erste Öffnen ist langsamer.|Windows les recrée à l'ouverture des dossiers : la première ouverture sera plus lente.|Windows odtworzy je przy otwieraniu folderów: pierwsze otwarcie będzie wolniejsze.|O Windows as recria ao abrir pastas: a primeira abertura será mais lenta.|Windows le recreează la deschiderea folderelor: prima deschidere va fi mai lentă.|Windows создаст их заново: первое открытие будет медленнее.
M|cleanTip_recent|Toglie i file recenti da Esplora file, Start e barra delle applicazioni.|Removes recent files from File Explorer, Start and the taskbar.|Quita los archivos recientes del Explorador, Inicio y la barra.|Entfernt zuletzt verwendete Dateien aus Explorer, Start und Taskleiste.|Retire les fichiers récents de l'Explorateur, de Démarrer et de la barre.|Usuwa ostatnie pliki z Eksploratora, Startu i paska.|Remove arquivos recentes do Explorador, Iniciar e barra.|Elimină fișierele recente din Explorer, Start și bară.|Убирает недавние файлы из Проводника, «Пуск» и панели.
M|cleanTip_runHist|Comandi scritti in Esegui (Win+R) e percorsi digitati in Esplora file.|Commands typed in Run (Win+R) and paths typed in File Explorer.|Comandos de Ejecutar (Win+R) y rutas escritas en el Explorador.|In Ausführen (Win+R) eingegebene Befehle und im Explorer eingegebene Pfade.|Commandes tapées dans Exécuter (Win+R) et chemins saisis dans l'Explorateur.|Polecenia z Uruchom (Win+R) i ścieżki wpisane w Eksploratorze.|Comandos do Executar (Win+R) e caminhos digitados no Explorador.|Comenzi din Executare (Win+R) și căi tastate în Explorer.|Команды «Выполнить» (Win+R) и пути в Проводнике.
M|cleanTip_prefetch|Windows lo usa per aprire prima i programmi: dopo la pulizia i primi avvii saranno più lenti.|Windows uses it to open programs faster: after cleaning the first launches will be slower.|Windows lo usa para abrir antes los programas: tras limpiarlo los primeros inicios serán más lentos.|Windows startet Programme damit schneller: danach sind die ersten Starts langsamer.|Windows l'utilise pour ouvrir les programmes plus vite : après nettoyage les premiers lancements seront plus lents.|Windows używa go do szybszego uruchamiania: po czyszczeniu pierwsze starty będą wolniejsze.|O Windows o usa para abrir programas mais rápido: depois os primeiros inícios serão mais lentos.|Windows îl folosește pentru pornire rapidă: după curățare primele porniri vor fi mai lente.|Windows ускоряет им запуск программ: после очистки первые запуски будут медленнее.
M|ttlFix|Riparazioni|Repairs|Reparaciones|Reparaturen|Réparations|Naprawy|Reparos|Reparații|Исправления
M|fixHint|Partono subito, una alla volta. L'avanzamento resta visibile in alto anche dalle altre pagine.|They start right away, one at a time. Progress stays visible at the top from the other pages too.|Empiezan enseguida, de una en una. El progreso se ve arriba también desde otras páginas.|Sie starten sofort, einzeln. Der Fortschritt bleibt oben auch auf anderen Seiten sichtbar.|Elles démarrent aussitôt, une par une. La progression reste visible en haut depuis les autres pages.|Startują od razu, po kolei. Postęp widać u góry także na innych stronach.|Começam na hora, uma de cada vez. O progresso fica visível no topo nas outras páginas.|Pornesc imediat, pe rând. Progresul rămâne vizibil sus și din alte pagini.|Запускаются сразу, по очереди. Ход виден вверху и на других страницах.
M|toolRun|Esegui|Run|Ejecutar|Ausführen|Exécuter|Uruchom|Executar|Rulează|Запустить
M|tool_netQuick|Rete: ripristino rapido|Network: quick reset|Red: restablecimiento rápido|Netzwerk: schnelles Zurücksetzen|Réseau : réinitialisation rapide|Sieć: szybki reset|Rede: redefinição rápida|Rețea: resetare rapidă|Сеть: быстрый сброс
M|toolDesc_netQuick|Svuota la cache DNS e rinnova l'indirizzo IP. La connessione cade per qualche secondo.|Flushes the DNS cache and renews the IP address. The connection drops for a few seconds.|Vacía la caché DNS y renueva la IP. La conexión se corta unos segundos.|Leert den DNS-Cache und erneuert die IP. Die Verbindung bricht kurz ab.|Vide le cache DNS et renouvelle l'IP. La connexion coupe quelques secondes.|Czyści DNS i odnawia IP. Połączenie zniknie na kilka sekund.|Limpa o cache DNS e renova o IP. A conexão cai por alguns segundos.|Golește cache-ul DNS și reînnoiește IP-ul. Conexiunea cade câteva secunde.|Очищает кэш DNS и обновляет IP. Связь пропадёт на несколько секунд.
M|tool_netFull|Rete: ripristino completo|Network: full reset|Red: restablecimiento completo|Netzwerk: vollständiges Zurücksetzen|Réseau : réinitialisation complète|Sieć: pełny reset|Rede: redefinição completa|Rețea: resetare completă|Сеть: полный сброс
M|toolDesc_netFull|Winsock, stack IP, proxy di sistema e parametri TCP di Windows tornano come nuovi. Serve un riavvio.|Winsock, IP stack, system proxy and Windows TCP settings go back to factory state. Needs a restart.|Winsock, pila IP, proxy y parámetros TCP vuelven a fábrica. Requiere reiniciar.|Winsock, IP-Stack, Systemproxy und TCP-Einstellungen werden zurückgesetzt. Neustart nötig.|Winsock, pile IP, proxy et paramètres TCP reviennent à l'origine. Redémarrage nécessaire.|Winsock, stos IP, proxy i ustawienia TCP wracają do fabrycznych. Wymaga restartu.|Winsock, pilha IP, proxy e ajustes TCP voltam ao padrão. Requer reinício.|Winsock, stiva IP, proxy și setările TCP revin la fabrică. Necesită repornire.|Winsock, стек IP, прокси и TCP возвращаются к заводским. Нужна перезагрузка.
M|toolAsk_netQuick|La connessione si interrompe per qualche secondo. Procedo?|The connection drops for a few seconds. Go ahead?|La conexión se corta unos segundos. ¿Sigo?|Die Verbindung bricht kurz ab. Fortfahren?|La connexion coupe quelques secondes. Je continue ?|Połączenie przerwie się na chwilę. Kontynuować?|A conexão cai por alguns segundos. Continuo?|Conexiunea se întrerupe câteva secunde. Continui?|Связь прервётся на несколько секунд. Продолжить?
M|toolAsk_netFull|Rimetto la rete come appena installata. VPN e programmi che modificano Winsock potrebbero dover essere reinstallati. Procedo?|I'll reset networking to a fresh state. VPNs and programs that change Winsock may need reinstalling. Go ahead?|Dejo la red como recién instalada. VPN y programas que modifican Winsock podrían requerir reinstalación. ¿Sigo?|Ich setze das Netzwerk wie frisch installiert zurück. VPNs und Winsock-Programme müssen evtl. neu installiert werden. Fortfahren?|Je remets le réseau à neuf. Les VPN et programmes qui modifient Winsock pourraient devoir être réinstallés. Je continue ?|Przywrócę sieć do stanu fabrycznego. VPN i programy zmieniające Winsock mogą wymagać reinstalacji. Kontynuować?|Vou deixar a rede como nova. VPNs e programas que alteram o Winsock podem precisar ser reinstalados. Continuo?|Readuc rețeaua la starea inițială. VPN-urile și programele care modifică Winsock pot necesita reinstalare. Continui?|Сброшу сеть к исходному состоянию. VPN и программы, меняющие Winsock, может понадобиться переустановить. Продолжить?
M|tool_firewall|Firewall: impostazioni predefinite|Firewall: default settings|Firewall: valores predeterminados|Firewall: Standardeinstellungen|Pare-feu : paramètres par défaut|Zapora: ustawienia domyślne|Firewall: configurações padrão|Firewall: setări implicite|Брандмауэр: настройки по умолчанию
M|toolDesc_firewall|Cancella tutte le regole aggiunte da te e dai programmi. Usalo solo se il firewall blocca connessioni che dovrebbero funzionare.|Deletes every rule added by you and by programs. Use it only if the firewall blocks connections that should work.|Borra todas las reglas añadidas por ti y los programas. Úsalo solo si el firewall bloquea lo que debería funcionar.|Löscht alle von dir und Programmen hinzugefügten Regeln. Nur verwenden, wenn die Firewall Verbindungen blockiert.|Supprime toutes les règles ajoutées par vous et les programmes. À utiliser seulement si le pare-feu bloque des connexions légitimes.|Usuwa wszystkie reguły dodane przez ciebie i programy. Używaj tylko, gdy zapora blokuje połączenia.|Apaga todas as regras adicionadas por você e por programas. Use só se o firewall bloquear conexões que deveriam funcionar.|Șterge toate regulile adăugate de tine și de programe. Folosește doar dacă firewall-ul blochează conexiuni.|Удаляет все правила, добавленные вами и программами. Только если брандмауэр блокирует нужные соединения.
M|toolAsk_firewall|Tutte le regole personalizzate del firewall verranno cancellate e non si possono recuperare. Procedo?|All custom firewall rules will be deleted and cannot be recovered. Go ahead?|Se borrarán todas las reglas personalizadas del firewall sin posibilidad de recuperarlas. ¿Sigo?|Alle eigenen Firewall-Regeln werden unwiderruflich gelöscht. Fortfahren?|Toutes les règles personnalisées seront supprimées définitivement. Je continue ?|Wszystkie własne reguły zapory zostaną trwale usunięte. Kontynuować?|Todas as regras personalizadas do firewall serão apagadas sem volta. Continuo?|Toate regulile personalizate vor fi șterse definitiv. Continui?|Все пользовательские правила будут удалены без возможности восстановления. Продолжить?
M|tool_wuReset|Windows Update: ripristino|Windows Update: reset|Windows Update: restablecer|Windows Update: zurücksetzen|Windows Update : réinitialiser|Windows Update: reset|Windows Update: redefinir|Windows Update: resetare|Windows Update: сброс
M|toolDesc_wuReset|Per aggiornamenti bloccati o in errore: ferma i servizi, rinomina SoftwareDistribution e catroot2, ripristina i componenti e riparte. Serve un riavvio.|For stuck or failing updates: stops the services, renames SoftwareDistribution and catroot2, restores the components and restarts. Needs a restart.|Para actualizaciones atascadas: detiene servicios, renombra SoftwareDistribution y catroot2, restaura componentes y reinicia. Requiere reiniciar.|Für hängende Updates: stoppt Dienste, benennt SoftwareDistribution und catroot2 um, stellt Komponenten wieder her. Neustart nötig.|Pour les mises à jour bloquées : arrête les services, renomme SoftwareDistribution et catroot2, restaure les composants. Redémarrage nécessaire.|Dla zawieszonych aktualizacji: zatrzymuje usługi, zmienia nazwy SoftwareDistribution i catroot2, przywraca składniki. Wymaga restartu.|Para atualizações travadas: para serviços, renomeia SoftwareDistribution e catroot2, restaura componentes. Requer reinício.|Pentru actualizări blocate: oprește serviciile, redenumește SoftwareDistribution și catroot2, restaurează componentele. Necesită repornire.|Для зависших обновлений: останавливает службы, переименовывает SoftwareDistribution и catroot2, восстанавливает компоненты. Нужна перезагрузка.
M|toolAsk_wuReset|La cronologia degli aggiornamenti mostrata da Windows verrà azzerata; gli aggiornamenti installati restano. Procedo?|The update history Windows shows will be cleared; installed updates stay. Go ahead?|Se vaciará el historial de actualizaciones; las instaladas se mantienen. ¿Sigo?|Der Update-Verlauf wird geleert; installierte Updates bleiben. Fortfahren?|L'historique des mises à jour sera vidé ; celles installées restent. Je continue ?|Historia aktualizacji zostanie wyczyszczona; zainstalowane zostają. Kontynuować?|O histórico de atualizações será limpo; as instaladas continuam. Continuo?|Istoricul actualizărilor va fi golit; cele instalate rămân. Continui?|История обновлений будет очищена; установленные останутся. Продолжить?
